"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
29,"Gillis et al. 2014",NA,"sediment","sediment traps","sediment traps",NA,NA,"Tropical",2014,"2011","Mangrove",NA,"Among sites",1300,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangroves, seagrass, oceanic SPOM, terrestrial trees","0",0,21.3333333333333,5.77777777777778,NA,NA,NA,NA,54.1111111111111,18.7777777777778,NA,NA,NA,NA,NA,78.6666666666667,21.3333333333333,19.3067345763078,78.6666666666667,"SD",19.3067345763078,4.96935050529186,NA,NA,NA,NA,NA,15.5679514102245,15.0231303144333,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,4,4,NA,"Linear mixing model","Linear mixing model (Phillips & Gregg 2001 Oecologia; Phillips & Koch 2002 Oecologia)","Phang Nga Bay","Thailand",7.89,98.398333,NA,28,NA,NA,NA,NA,NA,NA,NA,"yes (Table 2)","Stable isotopes (C13 & N15)","Linear mixing model",NA,NA,NA
31,"Gonneea et al. 2004",NA,"sediment","coring","Push Corer","500","70","Tropical",2004,"2000-2001","Mangrove",NA,"Among sites",82000,3,NA,NA,NA,NA,5.3598292022792,"SD",NA,NA,NA,NA,1.70101922416592,"Pb210 gamma",0.296666666666667,"cm/yr",0.100166528008778,"SD",NA,NA,NA,NA,"Local to site mangroves (incl. leaf litter), seagrass (incl. wrack), SPM","0-0.3",0.15,48.3327213690476,13.1729349272487,NA,NA,NA,NA,38.4752287037037,NA,NA,NA,NA,NA,NA,51.6481636309524,48.3327213690476,7.88357536095275,51.6672786309524,"SD",7.88357536095275,7.912252505353,NA,NA,NA,NA,NA,7.41675196955731,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,3,3,NA,"Mixing diagram","Ternary mixing diagram (Dittmar et al. 2001)","Yucatan Peninsula","Mexico",18.625,-91.75,NA,28.5,NA,NA,NA,NA,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa, Thalassia testudinum",NA,NA,NA,"Stable isotopes (C13 & N15)","Ternary mixing diagram (after Dittmar et al. 2001)","Riverine input to estuary",NA,NA
32,"Xue et al. 2009",NA,"sediment","coring","Push Corer","700","63","Tropical",2009,"2005","Mangrove",NA,"Among sites",900,3,NA,NA,34,NA,1.13111111111111,"SD",NA,NA,5.29150262212918,NA,0.147293483801457,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves only","0-0.6",0.3,21.7277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.7277777777778,15.2593717408656,78.2722222222222,"SD",15.2593717408656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,"Mixed source class ""Other OM"" excluded from here","Mass balance model","Mass balance calculation (Shultz & Calder 1976)","Fujian province","China",23.926056,117.4025,NA,21.2,NA,NA,NA,NA,"Kandelia candel, Avicennia marina, Bruguiera gymnorrhiza, Acanthus ilicifolius, Aegiceras corniculatum",NA,NA,NA,"Stable isotopes (C13 & N15), C:N ratio",NA,NA,NA,NA
36,"Tue et al. 2011",NA,"sediment","coring","Push Corer","1500","100","Tropical",2011,"2008","Mangrove",NA,"Among sites",7250,2,NA,NA,NA,NA,1.193,NA,NA,NA,NA,NA,0.407293505963451,"Pb210 gamma",0.99,"cm/yr",0.29698484809835,"SD",NA,NA,NA,NA,"Mangrove leaves (local), SPOM (estuarine)","0-0.7",0.36,39.4045072941176,NA,NA,NA,NA,NA,60.5954927058824,NA,NA,NA,NA,NA,NA,60.5954927058824,39.4045072941176,15.3382255448295,60.5954927058824,"SD",15.3382255448295,NA,NA,NA,NA,NA,NA,15.3382255448295,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Simple mixing model","Red River","Vietnam",20.25,106.575,NA,NA,NA,NA,NA,NA,"Sonneratia caseolaris, Bruguiera gymnorhiza, Kandelia candel, Aegiceras corniculatum, Acanthus ilicifolius",NA,NA,"Yes (Figure 1)","Stable isotope (C13)","Simple mixing model with C13 only for mangroves & SPOM",NA,NA,NA
38,"Tang et al. 2023",NA,"sediment","coring","Not described",NA,NA,"Tropical",2023,"2020","Mangrove",NA,"Among sites",9500,2,NA,NA,NA,2.0265,2.32,"SD",NA,NA,NA,0.0756604255869606,0.311126983722081,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Assumed mangrove and terrestrial C13 signatures from literature","0-0.9",0.45,57.8024853076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.8024853076923,7.11073748136096,42.1975146923077,"SD",7.11073748136096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,"Only reported one source value","Linear mixing model","Mixing model (Shultz & Calder 1976)","Hainan Island","China",19.62052,110.7871,NA,22.5,24,25.6,NA,NA,"Sonneratia ovata, Acanthus ilicifolius, A. ebracteatus",NA,NA,"Yes (Figure 1)","Stable isotope (C13)","Simple mixing model with C13 only for mangroves & terrestrial (Shultz & Calder 1976)","TOC vs Grain Size correl (Fig 6)",NA,NA
48,"Iimura et al. 2019",NA,"sediment","coring","Geoslicer","1000","90","Temperate",2019,"2014-2016","Mangrove","Fukido Estuary","Within site",NA,6,NA,NA,NA,0.679166666666667,4.45833333333333,"SD",NA,NA,NA,0.0458711964817429,0.71443450831176,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only collected local mangrove leave tissues, seagrass published value","0-0.9",0.45,91,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,91,4.58,9,"SD",4.58,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,"Not conducted/described","Not conducted","Ishigaki Island","Japan",24.483333,124.216667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotope (C13)","No mixing model results presented by authors","Mixing model results calculated by CJF using IsoError from US EPA website https://www.epa.gov/eco-research/stable-isotope-mixing-models-estimating-source-proportions",NA,NA
50,"Kennedy et al. 2004",NA,"sediment","coring","Push Corer","50","50","Tropical",2004,"1999","Mangrove","Ghia Luan","Among sites",780,4,NA,NA,NA,NA,1.1,"SD",NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass leaves, mangrove leaves, seagrass epiphytes, SPOM","0-0.05",0.025,81.5,5.5,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,18.5,81.5,7.5,18.5,"Range",7.5,5.5,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Linear mixing model","Simple mixing model","Ha Long Bay","Vietnam",20.925,107.153333,NA,NA,NA,NA,NA,NA,"Enhalus acoroides",NA,NA,NA,"Stable isotope (C13)","One-isotope three-source mixing models",NA,NA,"Reported seston, moved to SPOM"
50,"Kennedy et al. 2004",NA,"sediment","coring","Push Corer","50","50","Tropical",2004,"1999","Mangrove","Umalagan","Among sites",780,3,NA,NA,NA,NA,11,"SD",NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass leaves, mangrove leaves, seagrass epiphytes, SPOM","0-0.05",0.025,44.5,9,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,NA,55.5,44.5,45.5,55.5,"Range",45.5,2,NA,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Linear mixing model","Simple mixing model","Ulugan","Philippines",10.025,118.778333,NA,NA,NA,NA,NA,NA,"Enhalus acoroides",NA,NA,NA,"Stable isotope (C13)","One-isotope three-source mixing models",NA,NA,"Reported seston, moved to SPOM"
52,"Kimeli et al. 2021",NA,"sediment","coring","Hydrobios sediment sampler","600",NA,"Tropical",2021,"2020","Mangrove",NA,"Among sites",50,5,0.1,NA,NA,2.576,0.9,"SD",1.2,NA,NA,0.116,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local mangroves, saltmarsh (C3) plants, river POM, marine POM","0-0.5",0.25,4.49,NA,NA,8.09,NA,NA,23.14,64.04,NA,NA,NA,NA,NA,95.27,4.49,2.44,95.51,"95%CI",2.44,NA,NA,NA,NA,NA,7.72,14.56,19.07,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Bayesian Mixing Model (SimmR)","SimmR","Vanga Estuary","Kenya",-4.133333,39.5,NA,NA,NA,NA,NA,NA,"Avicennia mariana, Bruguiera gymnorrhize, Ceriops tagal, Rhizophora mucronata, Xylocarpus granatum",NA,"The estuary susytem reiceves sediments and FW from large river system sites within mangroves, rivers in magrove forrest and ocean","Yes (Fig1)","Stable isotope (C13)","One-isotope + C/N ratio Bayesian SIMMR mixing model four-members",NA,NA,NA
54,"Thimdee et al. 2003",NA,"sediment","coring","Push Corer","300","40","Tropical",2003,"1998","Mangrove",NA,"Among sites",1200,3,NA,NA,NA,NA,2.2,"SD",NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves (Avicennia, Ceriops, Lumnitzera, Rhizophora, Xylocarpus), seagrass, algae (Gracilaria, Laurencia), plankton","0-0.3",0.15,90.4,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,90.4,5,9.59999999999999,"SD",5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,0,2,NA,"Not conducted/described","Not conducted","Chantaburi province","Thailand",12.55,101.916667,"1.5",NA,NA,NA,NA,NA,"Avicennia, Ceriops, Lumnitzera, Rhizophora, Xylocarpus, Enhalus acoroides, Gracilaria, Laurencia",NA,"Shrimp production ponds border study sites (higher elevation)","Yes (Figure 1)","Stable isotope (C13)","No mixing model results presented by authors","Mixing model results calculated by CJF using IsoError from US EPA website https://www.epa.gov/eco-research/stable-isotope-mixing-models-estimating-source-proportions",NA,NA
59,"Kusumaningtyas et al. 2019",NA,"sediment","coring","Auger","1000",NA,"Tropical",2019,"2016","Mangrove","Segara Anakan Lag - East","Among sites",NA,4,NA,NA,NA,0.9775,4.15,"SD",NA,NA,NA,0.352361083738448,3.1246333118197,"Pb210ex gamma",1.91,"cm/yr",1.63777287802674,"SD",2.4,"g/cm2/yr",1.4,"SD","Literature values","0-1.0",0.5,28.74,NA,NA,19.0775,NA,NA,14.5025,25.48,NA,NA,NA,NA,NA,59.06,28.74,13.85,71.26,"SD",19.2869575966074,NA,NA,NA,NA,NA,9.12642089393938,16.5174392688455,16.5174392688455,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,5,4,"Mixture ""soil"" not included here","Bayesian Mixing Model (SimmR)","SimmR","Central Java","Indonesia",-8.583333,108.766667,NA,NA,NA,NA,NA,NA,"Aegiceras, Avicennia, Bruguiera, Ceriops, Lumnitzera, Rhizophora, Scyphiphora, Sonneratia, Xylocarpus",NA,NA,"Yes (Table 1)","Stable isotope (C13) & C/N ratio","One-isotope & C/N ratio mixing model (SIMMR)",NA,NA,NA
60,"Saavedra-Hortua et al. 2020",NA,"sediment","sediment traps","sediment traps",NA,NA,"Tropical",2020,"2017","Mangrove",NA,"Among sites",15000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local mangroves, seagrass, macroalgae, plankton/SPOM, terrestrial trees","0-0.01",0.005,42.5912833333333,1.91975,18.0708277777778,NA,NA,NA,21.8671166666667,14.4954666666667,NA,NA,NA,NA,NA,56.3531611111111,42.5912833333333,1.3653654971594,57.4087166666667,"SD",1.3653654971594,3.32510453783035,4.45896378720978,NA,NA,NA,NA,1.87144301030871,5.68370140430805,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,5,NA,"Bayesian Mixing Model","MixSIAR","Singapore","Singapore",1.446389,103.723611,NA,23,NA,32,NA,NA,"Rhizophora apiculata, Avicennia alba, Bruguiera cylindrica, Avicennia rumphiana, Nypa fruticans, Cymodocea rotundata, Halodule uninervis, Halophila ovalis, Ulva, Dictyota",NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","Two-isotope, five-source Bayesian MixSIAR",NA,NA,NA
66,"Ray et al. 2023",NA,"sediment","coring","Push Corer","500","52","Tropical",2023,"2019","Mangrove","Panay Island","Within site",NA,3,NA,NA,NA,0.773333333333333,2.333,"SD",NA,NA,NA,0.155670592384475,1.54347627127857,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizophora apiculata, marine POM, river POM, microphytobenthos","0-0.5",0.25,50.6666666666667,NA,NA,NA,5,NA,12.6666666666667,32.3333333333333,NA,NA,NA,NA,NA,50,50.6666666666667,8.73689494805411,49.3333333333333,"SD",8.73689494805411,NA,NA,0,NA,NA,NA,1.52752523165195,5.77350269189625,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,4,4,NA,"Bayesian Mixing Model","Binary mixing model Bayesian RGtk2, Splancs","Panay Island","Philippines",11.716667,122.383333,NA,NA,NA,NA,NA,NA,"Rhizophora apiculata",NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","Binary source mixing model, Bayesian RGtk2, Splancs",NA,NA,NA
73,"Mukherjee et al. 2019",NA,"sediment","coring","Gravity corer","Not described","Not described","Tropical",2019,"2014","Mangrove",NA,"Among sites",3500,3,NA,NA,NA,NA,1.04,"SD",NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPOM, mangrove","0-0.5",0.38,60.702,NA,NA,NA,NA,NA,39.298,NA,NA,NA,NA,NA,NA,39.298,60.702,8.89110814240833,39.298,"SD",8.89110814240833,NA,NA,NA,NA,NA,NA,8.89110814240836,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Mixing model (Calder & Parker 1968)","Odisha","India",20.666667,86.75,NA,NA,NA,NA,NA,NA,"Avicennia alba, Avicennia officinalis, Rhizophora mucronata, Excoecaria agallocha, Acanthus illicifolius, Sonneratia apetala, Heritiera minor",NA,NA,"Yes (Figure 2)","Stable isotope (C13)","1 isotope, 2 member mixing model (Calder & Parker 1968)",NA,NA,NA
